video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description,publish_month
LsoLEjrDogU,18.12.01,Bruno Mars - Finesse (Remix) [Feat. Cardi B] [Official Video],Bruno Mars,10,2018-01-04 04:49:43+00:00,"Bruno Mars|""Finesse""|""Cardi B""|""Finesse Remix""|""Bruno""|""Mars""|""Cardi""|""official video""|""Pop""|""Hip hop""|""R&B""|""Atlantic Records""|""Atlantic""|""In Living Color""",57951412,1919583,73239,133601,https://i.ytimg.com/vi/LsoLEjrDogU/default.jpg,False,False,False,Finesse (Remix) Feat. Cardi B Available Now: https://Atlantic.lnk.to/FinesseRemixID\n\nDirected by Bruno Mars\nCo-Directed by Florent Dechard\nChoreography: Phil Tayag and Bruno Mars \nCreative Consultant: Phil Tayag\n\nDownload or stream 24k Magic: https://Atlantic.lnk.to/24K_MagicID\n\nSee Bruno on the ‘24K Magic World Tour’! Tickets on sale now. Visit http://brunomars.com for dates \n\nPick up the 24K Magic World Tour Collection in Bruno’s Official Webstore: https://brunom.rs/brunomarsstore\n\nConnect with Bruno:\nhttp://www.brunomars.com\nhttp://www.instagram.com/brunomars\nhttp://www.twitter.com/brunomars\nhttp://www.facebook.com/brunomars,1
dfnCAmr569k,18.19.01,"Taylor Swift - End Game ft. Ed Sheeran, Future",TaylorSwiftVEVO,10,2018-01-12 05:00:01+00:00,"Taylor|""Swift""|""End""|""Game""|""Big""|""Machine""|""Pop""",45141770,1844959,102849,148768,https://i.ytimg.com/vi/dfnCAmr569k/default.jpg,False,False,False,"Music video by Taylor Swift performing End Game. (C) 2018 Big Machine Label Group, LLC\n\nhttp://vevo.ly/YQbdEJ",1
QwZT7T-TXT0,18.09.01,So Sorry.,Logan Paul Vlogs,24,2018-01-02 16:42:21+00:00,"logan paul vlog|""logan paul""|""logan""|""paul""|""olympics""|""logan paul youtube""|""vlog""|""daily""|""comedy""|""hollywood""|""parrot""|""maverick""|""bird""|""maverick clothes""|""logan paul apology""|""suicide forest""|""japanese suicide forest""|""suicide""|""logan paul suicide""|""suicide apology""",37539570,1402578,1674420,1361580,https://i.ytimg.com/vi/QwZT7T-TXT0/default.jpg,False,False,False,,1
VRJmcxCrAOA,18.30.01,Real Life Trick Shots 2 | Dude Perfect,Dude Perfect,17,2018-01-22 22:55:24+00:00,"dude perfect|""dude perfect stereotypes""|""dude perfect water bottle flip""|""bottle flip""|""water bottle flip""|""dude perfect bottle flip""|""dude perfect basketball""|""dp""|""dude perfect world record""|""edition""|""nerf""|""trick shots""|""trick shot""|""family""|""ping pong""|""bowling""|""clean""|""family friendly""|""bubble wrap""|""soccer""|""football""|""spinner""|""spinners""|""fidget spinners""|""dude""|""real life""|""every day""|""game""|""banana""|""mail toss""|""dudes""|""dude real life""|""real life tricks""|""real tricks""|""crazy tricks""",29090799,1017919,15066,51282,https://i.ytimg.com/vi/VRJmcxCrAOA/default.jpg,False,False,False,"Trick shots should be an everyday thing! \nThanks to Kay Jewelers for sponsoring this video! \nWin Valentine's Day by going to http://dudeperfect.com/KayJewelers\n\n► Click HERE to subscribe to Dude Perfect! http://bit.ly/SubDudePerfect\n\n► Click HERE to watch our most recent videos! http://bit.ly/NewestDudePerfectVideos\nhttp://bit.ly/NewestDPVideos\n\n► SHOP our NEW Merchandise! - http://bit.ly/DPStore\n►Click HERE to join the exclusive Dude Perfect T-Shirt Club! http://bit.ly/DPTShirtClub\n\nMusic: GRiZ x Big Gigantic - “Good Times Roll”\n►Click HERE to download: http://bit.ly/GoodTimesRollDP\n\n►http://mynameisgriz.com/\n►http://facebook.com/mynameisGRiZ/\n►http://soundcloud.com/griz\n►http://twitter.com/mynameisgriz\n►http://instagram.com/mynameisgriz/\n\nPlay our NEW iPhone game!\n► PLAY Endless Ducker on iPhone -- http://smarturl.it/EndlessDucker\n► PLAY Endless Ducker on Android -- http://smarturl.it/EndlessDucker\n\n► VISIT our NEW STORE - http://bit.ly/DPStore\n► JOIN our NEWSLETTER - http://bit.ly/DPNewsletterEndCard\n► WATCH our STEREOTYPES - http://bit.ly/StereotypesPlaylist\n\nIn between videos we hang out with you guys on Instagram, Snapchat, Twitter, and Facebook so pick your favorite one and hang with us there too!\n\nhttp://Instagram.com/DudePerfect\nhttp://bit.ly/DudePerfectSnapchat\nhttp://Twitter.com/DudePerfect\nhttp://Facebook.com/DudePerfect\n\nDo you have a GO BIG mindset? \nSee for yourself in our book Go Big. \n►http://amzn.to/OYdZ2s\n\nA special thanks to those of you who play our iPhone Games and read our book. You guys are amazing and all the great things you tell us about the game and the book make those projects so worthwhile for us! \n\nDude Perfect GAME - http://smarturl.it/DPGameiPhone\nDude Perfect BOOK - Go Big - http://amzn.to/OYdZ2s\n\nClick here if you want to learn more about Dude Perfect:\nhttp://www.dudeperfect.com/blog-2/\n\nBonus points if you're still reading this! \nComment: How much money you think is in the piggy bank!\n\nAs always...Go Big and God Bless!\n- Your friends at Dude Perfect\n\nBusiness or Media, please contact us at: \nDude@DudePerfect.com\n\n------------\n\n5 Best Friends and a Panda.\nIf you like Sports + Comedy, come join the Dude Perfect team!\n\nBest known for trick shots, stereotypes, battles, bottle flips, ping pong shots and all around competitive fun, Dude Perfect prides ourselves in making the absolute best family-friendly entertainment possible! Welcome to the crew! \n\nPound it. Noggin. \n- Dude Perfect",1
Mgfe5tIwOj0,18.19.01,Dua Lipa - IDGAF (Official Music Video),Dua Lipa,10,2018-01-12 12:00:07+00:00,"dua lipa|""idgaf""|""dl1""|""I don't give a fuck""|""dua idgaf""|""dua lipa official""|""dua new video""|""dua lipa video""|""dua leepa""|""warner bros records""|""warner Bros""|""so i cut you off""|""dua lipa i dont give a fuck""|""Pop""|""Dance""|""2018""|""Debut Album""|""I Don't Give A F""|""Dueling Duas""|""Dueling Lipas""|""Double Dua""|""Double Lipa""|""Dueling Dua Lipas""|""Double Dua Lipas""",27335197,1260110,32962,55385,https://i.ytimg.com/vi/Mgfe5tIwOj0/default.jpg,False,False,False,Dua Lipa - IDGAF: https://wbr.ec/idgaf\n\nArtistic direction: Henry Scholfield & Mosaert (Paul Van Haver aka Stromae and Luc Junior Tam)\nDirector: Henry Scholfield\n\nMY DEBUT ALBUM #DL1 IS OUT NOW!!! A massive thank you to everyone buying and streaming it 🌹🌹🌹 THANK YOU MY LOVES 🚀💖 https://wbr.ec/dualipa-album\n\nFollow me online:\nhttps://wbr.ec/website_dualipa\nhttps://wbr.ec/facebook_dualipa\nhttps://wbr.ec/twitter_dualipa\nhttps://wbr.ec/instagram_dualipa,1
zkG4Xpz6t68,18.02.02,Shakira - Trap (Official Video) ft. Maluma,shakiraVEVO,10,2018-01-26 14:00:05+00:00,"Shakira ft. Maluma|""Shakira ft. Maluma Music""|""Shakira ft. Maluma Official Video""|""Shakira ft. Maluma Video""|""Shakira ft. Maluma Video Oficial""|""Trap Official Video""|""Official Video""|""Trap Single""|""Single""|""Shakira ft. Maluma New Single""|""Shakira ft. Maluma Single""|""Shakira ft. Maluma Song""|""Trap new song""|""Trap nueva canción""|""Shakira ft. Maluma nuevo sencillo""|""Shakira ft. Maluma Trap""|""Latin Pop""|""Shakira feat. Maluma""|""Sony Music Latin""|""Trap""",25142629,655664,124281,82853,https://i.ytimg.com/vi/zkG4Xpz6t68/default.jpg,False,False,False,Shakira feat. Maluma - Trap (Official Music Video)\nEl Dorado is available now!\niTunes: http://smarturl.it/ElDoradoi\nApple Music: http://smarturl.it/ElDoradoAp\nSpotify: http://smarturl.it/ElDoradoS\nAmazon: http://smarturl.it/ElDoradoA\nGoogle Play: http://smarturl.it/ElDoradoG\nD2C: http://smarturl.it/ElDoradoP\n\nFollow Shakira!\nOfficial site: http://www.shakira.com\nFacebook: http://www.facebook.com/shakira\nTwitter: http://www.twitter.com/shakira\nInstagram: http://www.instagram.com/shakira\n\nFollow Maluma!\nOfficial site: http://www.malumamusik.com\nFacebook: http://www.facebook.com/MALUMAMUSIK\nTwitter: http://www.twitter.com/maluma\nInstagram: http://www.instagram.com/malumaoficial\nYouTube: http://www.youtube.com/user/MalumaVEVO\nOfficial music video by Shakira feat. Maluma performing Trap. (C) 2018 Sony Music Entertainment US Latin LLC,1
oWjxSkJpxFU,18.01.02,Suicide: Be Here Tomorrow.,Logan Paul Vlogs,29,2018-01-24 18:30:01+00:00,"logan paul vlog|""logan paul""|""logan""|""paul""|""logan paul youtube""|""logan paul suicide""|""suicide prevention awareness""|""suicide prevention""|""5 steps""|""suicide hotline""|""suicide lifeline""|""national""|""kevin hines""|""golden gate bridge""|""survival""|""be here tomorrow""",24286474,1988746,497847,658130,https://i.ytimg.com/vi/oWjxSkJpxFU/default.jpg,False,False,False,"National Suicide Prevention Lifeline\nCall 1-800-273-8255\nCrisis Textline, Free 24/7 Support: Text 741741\n\nLearn how you can #BeThe1To save a life. Help someone in crisis at:\nhttp://bit.ly/2FbwLU6\n\nSpecial Thanks to Kevin Hines. Learn about his story: http://bit.ly/2GevTiw\nFollow Kevin on IG: http://bit.ly/2F6oLUb\nFollow Kevin on Twitter: http://bit.ly/2n6UJt0\nCheck out his movie “Suicide: The Ripple Effect”: http://bit.ly/2n8DOW9\n17th and Montgomery Productions: http://bit.ly/2Dv7fZf\n\nSpecial Thanks to Bob Forrest:\nLearn about Alo House Recovery Centers: http://bit.ly/2n94ZA3\nLearn more about Bob: http://bit.ly/2DIAjzZ\n\nSpecial Thanks to Dr. John Draper:\nLearn more about the Suicide Prevention Lifeline: http://bit.ly/2Braxe9\n\nSpencer Taylor:\nhttps://www.instagram.com/vybesource/",1
J_CFBjAyPWE,18.04.02,Red Velvet 레드벨벳 'Bad Boy' MV,SMTOWN,10,2018-01-29 09:00:02+00:00,"Red Velvet|""레드벨벳""|""Bad Boy""|""The Perfect Red Velvet""|""IRENE""|""WENDY""|""SEULGI""|""JOY""|""YERI""|""아이린""|""웬디""|""슬기""|""조이""|""예리""|""배드보이""|""밷보이""|""kpop""|""k-pop""|""MV""|""music video""",21594339,1072246,28662,128809,https://i.ytimg.com/vi/J_CFBjAyPWE/default.jpg,False,False,False,"Red Velvet's 2nd Album Repackage The Perfect Red Velvet has been released.\nListen and download on iTunes & Apple Music, Spotify, and Google Play Music http://smarturl.it/ThePerfectRedVelvet\n\n[Tracklist]\n01 Bad Boy\n02 All Right\n03 피카부 (Peek-A-Boo)\n04 봐 (Look)\n05 I Just\n06 Kingdom Come\n07 Time To Love\n08 두 번째 데이트 (My Second Date)\n09 Attaboy\n10 Perfect 10\n11 About Love\n12 달빛 소리 (Moonlight Melody)\n\nRed Velvet Official\nhttp://redvelvet.smtown.com\nhttp://www.youtube.com/redvelvet \nhttp://www.facebook.com/RedVelvet\nhttp://www.instagram.com/redvelvet.smtown\nhttps://twitter.com/RVsmtown\n\nRed Velvet 레드벨벳 'Bad Boy' MV ℗ S.M.Entertainment",1
gA-NDZb29I4,18.12.01,Justin Timberlake - Filthy (Official Video),justintimberlakeVEVO,10,2018-01-05 05:00:01+00:00,"Filthy|""Justin Timberlake""|""Pop""|""RCA Records Label""",18871288,293244,61447,32777,https://i.ytimg.com/vi/gA-NDZb29I4/default.jpg,False,False,False,Filthy from Man of the Woods \nOfficial Music Video directed by Mark Romanek\n \nMan Of The Woods – An Album By Justin Timberlake - February 2nd – Pre-Order Now:\niTunes - http://tmbr.lk/jMOTW_iTunes\nAmazon - http://tmbr.lk/jMOTW_Amazon\nSpotify Pre-Save - http://tmbr.lk/jMOTW_SpotifyPreSave\nTarget - http://tmbr.lk/MOTW_Target\nGoogle Play - http://tmbr.lk/jMOTW_GooglePlay\nMore Options - http://tmbr.lk/jMOTW\n\nStream “Filthy”:\nApple Music - http://tmbr.lk/jFILTHY_AppleMusic\nSpotify - http://tmbr.lk/jFILTHY_Spotify\nAmazon Music - http://tmbr.lk/jFILTHY_Amazon\nDeezer - http://tmbr.lk/jFILTHY_Deezer\n\nFollow Justin Timberlake:\nWebsite: https://www.justintimberlake.com/\nFacebook: https://www.facebook.com/justintimberlake\nTwitter: https://twitter.com/jtimberlake\nInstagram: https://www.instagram.com/justintimberlake/\nSpotify: http://tmbr.lk/Spotify,1
6OcOO1k-vGE,18.06.02,Bruno Mars and Cardi B - Finesse (LIVE From The 60th GRAMMYs ®),Vevo,10,2018-01-29 09:49:15+00:00,Bruno Mars and Cardi B Finesse R&B,18241671,396450,16969,23622,https://i.ytimg.com/vi/6OcOO1k-vGE/default.jpg,False,False,False,Finesse (Remix) Feat. Cardi B Available Now: https://Atlantic.lnk.to/FinesseRemixID \n \nConnect with Bruno:\nhttp://www.brunomars.com\nhttp://www.instagram.com/brunomars\nhttp://www.twitter.com/brunomars\nhttp://www.facebook.com/brunomars,1
